model,cv_mape,cv_std
"Ridge(a = 10.0, wt)",0.17679187584293582,0.01601932563909226
"Ridge(a = 5.0, wt)",0.17687030253422648,0.016234952487678787
Lasso(a = 0.001),0.17711412259089668,0.016323766811249633
"Ridge(a = 1.0, wt)",0.17732402781508222,0.01730327858382399
Lasso(a = 0.0005),0.17736413796285228,0.01688394463149514
"Ridge(a = 0.5, wt)",0.17744447610482936,0.01788082563856736
"Ridge(a = 0.1, wt)",0.1777703851752733,0.019169919275557633
Lasso(a = 0.0001),0.17796849417595778,0.01929233872079925
"Ridge(a = 0.05, wt)",0.17800443861334203,0.01960493655955688
Lasso(a = 0.005),0.17821641236907915,0.016220430994157712
Lasso(a = 5e-05),0.1783643835553318,0.019885526441768355
Lasso(a = 1e-05),0.17922322061111318,0.020694268643153407
Lasso(a = 0.01),0.18008435896713496,0.015025546197622464
